FIPS_Code,County,State,Year,variable,value
9009,New Haven County, Connecticut,2013,Total,836150
10003,New Castle County, Delaware,2013,Total,532764
11001,District of Columbia, District of Columbia,2013,Total,611788
12009,Brevard County, Florida,2013,Total,545062
12011,Broward County, Florida,2013,Total,1823100
12031,Duval County, Florida,2013,Total,865163
12057,Hillsborough County, Florida,2013,Total,1270545
12071,Lee County, Florida,2013,Total,649199
12086,Miami-Dade County, Florida,2013,Total,2573211
12095,Orange County, Florida,2013,Total,1189316
12099,Palm Beach County, Florida,2013,Total,1354693
12103,Pinellas County, Florida,2013,Total,913241
12105,Polk County, Florida,2013,Total,608424
12127,Volusia County, Florida,2013,Total,490077
13067,Cobb County, Georgia,2013,Total,707652
13089,DeKalb County, Georgia,2013,Total,699993
13121,Fulton County, Georgia,2013,Total,952715
13135,Gwinnett County, Georgia,2013,Total,851967
15003,Honolulu County, Hawaii,2013,Total,951718
17031,Cook County, Illinois,2013,Total,5150356
17043,DuPage County, Illinois,2013,Total,919258
17089,Kane County, Illinois,2013,Total,517212
17097,Lake County, Illinois,2013,Total,686069
17197,Will County, Illinois,2013,Total,673217
18097,Marion County, Indiana,2013,Total,907845
20173,Sedgwick County, Kansas,2013,Total,498103
21111,Jefferson County, Kentucky,2013,Total,742376
24005,Baltimore County, Maryland,2013,Total,802713
24031,Montgomery County, Maryland,2013,Total,1008376
24033,Prince George's County, Maryland,2013,Total,870701
24510,Baltimore city, Maryland,2013,Total,597292
25005,Bristol County, Massachusetts,2013,Total,535671
25009,Essex County, Massachusetts,2013,Total,745635
25017,Middlesex County, Massachusetts,2013,Total,1495277
25025,Suffolk County, Massachusetts,2013,Total,712780
25027,Worcester County, Massachusetts,2013,Total,783695
26081,Kent County, Michigan,2013,Total,611358
26099,Macomb County, Michigan,2013,Total,846457
26125,Oakland County, Michigan,2013,Total,1221247
26163,Wayne County, Michigan,2013,Total,1756440
27053,Hennepin County, Minnesota,2013,Total,1175573
27123,Ramsey County, Minnesota,2013,Total,511679
29095,Jackson County, Missouri,2013,Total,669703
29189,St. Louis County, Missouri,2013,Total,980448
31055,Douglas County, Nebraska,2013,Total,526044
32003,Clark County, Nevada,2013,Total,2002803
34003,Bergen County, New Jersey,2013,Total,914137
34007,Camden County, New Jersey,2013,Total,505832
34013,Essex County, New Jersey,2013,Total,770876
34017,Hudson County, New Jersey,2013,Total,653812
34023,Middlesex County, New Jersey,2013,Total,802417
34029,Ocean County, New Jersey,2013,Total,574587
34031,Passaic County, New Jersey,2013,Total,497853
34039,Union County, New Jersey,2013,Total,540926
35001,Bernalillo County, New Mexico,2013,Total,666172
36005,Bronx County, New York,2013,Total,1379387
36029,Erie County, New York,2013,Total,893457
36047,Kings County, New York,2013,Total,2571598
36055,Monroe County, New York,2013,Total,723613
36059,Nassau County, New York,2013,Total,1331298
36061,New York County, New York,2013,Total,1580465
36081,Queens County, New York,2013,Total,2270581
36103,Suffolk County, New York,2013,Total,1470600
36119,Westchester County, New York,2013,Total,944176
37081,Guilford County, North Carolina,2013,Total,491582
37119,Mecklenburg County, North Carolina,2013,Total,974793
37183,Wake County, North Carolina,2013,Total,950090
39035,Cuyahoga County, Ohio,2013,Total,1236419
39049,Franklin County, Ohio,2013,Total,1183643
39061,Hamilton County, Ohio,2013,Total,786061
39113,Montgomery County, Ohio,2013,Total,520853
39153,Summit County, Ohio,2013,Total,533277
40109,Oklahoma County, Oklahoma,2013,Total,738345
40143,Tulsa County, Oklahoma,2013,Total,612322
41051,Multnomah County, Oregon,2013,Total,750599
41067,Washington County, Oregon,2013,Total,549420
42003,Allegheny County, Pennsylvania,2013,Total,1197745
42045,Delaware County, Pennsylvania,2013,Total,540434
42071,Lancaster County, Pennsylvania,2013,Total,514196
42091,Montgomery County, Pennsylvania,2013,Total,790802
42101,Philadelphia County, Pennsylvania,2013,Total,1510294
44007,Providence County, Rhode Island,2013,Total,601768
47037,Davidson County, Tennessee,2013,Total,637715
47157,Shelby County, Tennessee,2013,Total,922086
48029,Bexar County, Texas,2013,Total,1783867
48085,Collin County, Texas,2013,Total,850829
48113,Dallas County, Texas,2013,Total,2450372
48121,Denton County, Texas,2013,Total,715471
48141,El Paso County, Texas,2013,Total,812287
48157,Fort Bend County, Texas,2013,Total,646799
48201,Harris County, Texas,2013,Total,4290782
48215,Hidalgo County, Texas,2013,Total,803934
48439,Tarrant County, Texas,2013,Total,1886000
48453,Travis County, Texas,2013,Total,1096344
49035,Salt Lake County, Utah,2013,Total,1064922
49049,Utah County, Utah,2013,Total,538728
51059,Fairfax County, Virginia,2013,Total,1120638
53033,King County, Washington,2013,Total,2016073
53053,Pierce County, Washington,2013,Total,802110
53061,Snohomish County, Washington,2013,Total,737318
55025,Dane County, Wisconsin,2013,Total,497091
55079,Milwaukee County, Wisconsin,2013,Total,933062
1073,Jefferson County, Alabama,2014,Total,645501
4013,Maricopa County, Arizona,2014,Total,4032398
4019,Pima County, Arizona,2014,Total,974855
6001,Alameda County, California,2014,Total,1583652
6013,Contra Costa County, California,2014,Total,1101741
6019,Fresno County, California,2014,Total,949344
6029,Kern County, California,2014,Total,841935
6037,Los Angeles County, California,2014,Total,9964447
6059,Orange County, California,2014,Total,3108399
6065,Riverside County, California,2014,Total,2296989
6067,Sacramento County, California,2014,Total,1458671
6071,San Bernardino County, California,2014,Total,2053110
6073,San Diego County, California,2014,Total,3183055
6075,San Francisco County, California,2014,Total,838424
6077,San Joaquin County, California,2014,Total,703015
6081,San Mateo County, California,2014,Total,752109
6085,Santa Clara County, California,2014,Total,1864887
6097,Sonoma County, California,2014,Total,494238
6099,Stanislaus County, California,2014,Total,526121
6111,Ventura County, California,2014,Total,834832
8005,Arapahoe County, Colorado,2014,Total,613882
8031,Denver County, Colorado,2014,Total,650761
8041,El Paso County, Colorado,2014,Total,645274
9001,Fairfield County, Connecticut,2014,Total,927012
9003,Hartford County, Connecticut,2014,Total,873790
9009,New Haven County, Connecticut,2014,Total,834738
10003,New Castle County, Delaware,2014,Total,536246
11001,District of Columbia, District of Columbia,2014,Total,624327
12009,Brevard County, Florida,2014,Total,550448
12011,Broward County, Florida,2014,Total,1853237
12031,Duval County, Florida,2014,Total,875816
12057,Hillsborough County, Florida,2014,Total,1296661
12071,Lee County, Florida,2014,Total,668181
12086,Miami-Dade County, Florida,2014,Total,2621175
12095,Orange County, Florida,2014,Total,1221051
12099,Palm Beach County, Florida,2014,Total,1378538
12103,Pinellas County, Florida,2014,Total,923422
12105,Polk County, Florida,2014,Total,620664
12127,Volusia County, Florida,2014,Total,497358
13067,Cobb County, Georgia,2014,Total,719932
13089,DeKalb County, Georgia,2014,Total,706513
13121,Fulton County, Georgia,2014,Total,963999
13135,Gwinnett County, Georgia,2014,Total,872040
15003,Honolulu County, Hawaii,2014,Total,959920
17031,Cook County, Illinois,2014,Total,5158823
17043,DuPage County, Illinois,2014,Total,919513
17089,Kane County, Illinois,2014,Total,519507
17097,Lake County, Illinois,2014,Total,686357
17197,Will County, Illinois,2014,Total,674552
18097,Marion County, Indiana,2014,Total,913017
20173,Sedgwick County, Kansas,2014,Total,501712
21111,Jefferson County, Kentucky,2014,Total,743380
24005,Baltimore County, Maryland,2014,Total,805749
24031,Montgomery County, Maryland,2014,Total,1022346
24033,Prince George's County, Maryland,2014,Total,882402
24510,Baltimore city, Maryland,2014,Total,598509
25005,Bristol County, Massachusetts,2014,Total,538758
25009,Essex County, Massachusetts,2014,Total,753212
25017,Middlesex County, Massachusetts,2014,Total,1513368
25025,Suffolk County, Massachusetts,2014,Total,723337
25027,Worcester County, Massachusetts,2014,Total,786625
26081,Kent County, Michigan,2014,Total,618458
26099,Macomb County, Michigan,2014,Total,852132
26125,Oakland County, Michigan,2014,Total,1227353
26163,Wayne County, Michigan,2014,Total,1745528
27053,Hennepin County, Minnesota,2014,Total,1187656
27123,Ramsey County, Minnesota,2014,Total,519368
29095,Jackson County, Missouri,2014,Total,672595
29189,St. Louis County, Missouri,2014,Total,981184
31055,Douglas County, Nebraska,2014,Total,531665
32003,Clark County, Nevada,2014,Total,2044680
34003,Bergen County, New Jersey,2014,Total,922622
34007,Camden County, New Jersey,2014,Total,502540
34013,Essex County, New Jersey,2014,Total,776945
34017,Hudson County, New Jersey,2014,Total,662812
34023,Middlesex County, New Jersey,2014,Total,806690
34029,Ocean County, New Jersey,2014,Total,579659
34031,Passaic County, New Jersey,2014,Total,500680
34039,Union County, New Jersey,2014,Total,546275
35001,Bernalillo County, New Mexico,2014,Total,667836
36005,Bronx County, New York,2014,Total,1401392
36029,Erie County, New York,2014,Total,894978
36047,Kings County, New York,2014,Total,2597659
36055,Monroe County, New York,2014,Total,727249
36059,Nassau County, New York,2014,Total,1338841
36061,New York County, New York,2014,Total,1589189
36081,Queens County, New York,2014,Total,2296519
36103,Suffolk County, New York,2014,Total,1471739
36119,Westchester County, New York,2014,Total,949269
37081,Guilford County, North Carolina,2014,Total,496471
37119,Mecklenburg County, North Carolina,2014,Total,997439
37183,Wake County, North Carolina,2014,Total,976011
39035,Cuyahoga County, Ohio,2014,Total,1233260
39049,Franklin County, Ohio,2014,Total,1202646
39061,Hamilton County, Ohio,2014,Total,788603
39113,Montgomery County, Ohio,2014,Total,518240
39153,Summit County, Ohio,2014,Total,533629
40109,Oklahoma County, Oklahoma,2014,Total,747984
40143,Tulsa County, Oklahoma,2014,Total,619330
