FIPS_Code,County,State,Total,Male,Female,Under18,a18to64,over65,oneRace,White,AfricanAmerican,Native,Asian,Hawaiian,otherRace,Multiracial,FamilyHousehold,OtherLivingArrangements,totPoverty25,NoHS,HighSchool,SomeCollege,Bachelors,AmericanBorn,ForeignBorn,NaturalizedCitizen,Disability,NoDisability,totPoverty16to64,FullTime,PartTime,NoWork,Year
13089,DeKalb County, Georgia,680289,325595,354694,163207,456014,61068,670140,242541,370910,960,34445,106,21178,10149,543114,137175,451613,52177,99836,128455,171145,564602,115687,38101,66433,613369,473253,225929,122977,124347,2010
13121,Fulton County, Georgia,894461,433710,460751,218174,593921,82366,877993,405146,394439,1527,49951,235,26695,16468,696279,198182,601113,57324,117800,145958,280031,777854,116607,37494,79519,814313,618680,299997,163112,155571,2010
13135,Gwinnett County, Georgia,802317,394559,407758,232237,515649,54431,783670,431331,188191,1492,86629,392,75635,18647,718067,84250,501683,62674,118999,148256,171754,597900,204417,77200,53961,747791,541599,267867,142303,131429,2010
15003,Honolulu County, Hawaii,926014,457904,468110,206977,582112,136925,722162,187715,16367,1557,418571,90060,7892,203852,788173,137841,634813,62666,170241,197487,204419,734199,191815,111720,89872,812717,605608,329586,149262,126760,2010
17031,Cook County, Illinois,5128124,2479861,2648263,1219242,3304907,603975,5035513,2896326,1259992,13614,323636,1093,540852,92611,4189044,939080,3417487,541117,835451,874268,1166651,4041346,1086778,478648,506968,4620147,3448313,1589973,935701,922639,2010
17043,DuPage County, Illinois,904659,444571,460088,226777,577333,100549,887291,727577,40891,2160,92386,215,24062,17368,786547,118112,605612,49322,118752,158350,279188,734138,170521,81709,69134,835406,604665,311782,176820,116063,2010
17089,Kane County, Illinois,510403,254114,256289,147480,313256,49667,500783,384959,28597,553,17014,0,69660,9620,457663,52740,320794,52415,76712,89829,101838,416623,93780,31398,37618,472608,329966,158720,98287,72959,2010
17097,Lake County, Illinois,693785,344914,348871,190791,431728,71266,676075,527786,45695,2750,42630,137,57077,17710,619701,74084,445227,47851,97133,113850,186393,567562,126223,56899,51707,641092,455618,220473,136355,98790,2010
17197,Will County, Illinois,669930,331992,337938,195958,412140,61832,653156,516256,71529,1465,30588,687,32631,16774,604673,65257,421798,37104,118333,134870,131491,590548,79382,38980,51455,618338,434873,212884,123264,98725,2010
18097,Marion County, Indiana,887242,427850,459392,220322,575163,91757,863212,571809,236422,2710,19186,0,33085,24030,702754,184488,577843,90473,171829,160754,154787,806675,80567,19828,110273,776763,599612,266759,187519,145334,2010
21111,Jefferson County, Kentucky,731341,352428,378913,168299,465956,97086,716287,542158,150070,1292,16695,184,5888,15054,583586,147755,497491,61930,136860,146490,152211,683510,47831,18692,110316,619701,483334,227749,140405,115180,2010
24005,Baltimore County, Maryland,782986,370343,412643,172083,496882,114021,766706,510098,201735,1754,40222,74,12823,16280,649699,133287,539618,51794,145246,148743,193835,695937,87049,39704,88049,693193,516078,285937,126650,103491,2010
24031,Montgomery County, Maryland,969114,465436,503678,231901,619653,117560,930312,553220,166335,3193,133774,63,73727,38802,821635,147479,665037,62738,95347,130416,376536,655657,313457,144694,68860,897050,646574,357013,182934,106627,2010
24033,Prince George's County, Maryland,839358,402369,436989,200350,560472,78536,818108,185916,546361,2159,33568,163,49941,21250,703137,136221,552329,74714,155448,158868,163299,669602,169756,63294,67803,767669,585127,327658,145501,111968,2010
24510,Baltimore city, Maryland,602129,281153,320976,129275,402406,70448,587441,183588,380331,2389,13920,122,7091,14688,458922,143207,402014,91835,117411,93871,98897,559075,43054,16858,91766,509936,417574,184284,103377,129913,2010
25005,Bristol County, Massachusetts,533757,258399,275358,119793,340293,73671,522617,478876,18599,1298,9860,76,13908,11140,443816,89941,367655,68294,109804,95653,93904,475858,57899,38674,74437,459196,354942,162274,111950,80718,2010
25009,Essex County, Massachusetts,730794,350669,380125,170570,459748,100476,715161,600454,23650,894,23831,0,66332,15633,606476,124318,500071,53241,128541,132290,185999,618091,112703,57973,75685,654683,481057,234385,147253,99419,2010
25017,Middlesex County, Massachusetts,1456586,708099,748487,318407,950199,187980,1417790,1182019,65435,2004,134055,229,34048,38796,1172210,284376,1024368,80961,228645,199246,515516,1172872,283714,126219,124200,1331085,987495,518159,295595,173741,2010
25025,Suffolk County, Massachusetts,686271,331987,354284,123794,489813,72664,638201,376116,156143,1558,56197,133,48054,48070,466067,220204,461776,71945,118131,84382,187318,489560,196711,80989,78067,608100,503718,232574,155945,115199,2010
25027,Worcester County, Massachusetts,772639,378782,393857,184474,490896,97269,753796,676024,29174,1454,30731,301,16112,18843,643570,129069,524884,58951,148970,143062,173901,686743,85896,42772,89518,682663,513265,247986,156943,108336,2010
26081,Kent County, Michigan,591840,290398,301442,155820,370976,65044,574895,489969,57241,3033,13676,0,10976,16945,490237,101603,377808,41444,105180,116259,114925,552743,39097,16499,62337,529371,388736,173091,124218,91427,2010
26099,Macomb County, Michigan,833385,404798,428587,191861,524560,116964,817024,709938,73088,2641,25739,195,5423,16361,708506,124879,571514,67457,180314,193582,130161,744803,88582,48662,105654,726997,548188,235220,164456,148512,2010
26125,Oakland County, Michigan,1191848,578801,613047,278436,757697,155715,1163161,926155,159251,2658,67988,470,6639,28687,988840,203008,824097,59123,166399,254006,344569,1063593,128255,64539,134788,1056799,792179,369434,230538,192207,2010
26163,Wayne County, Michigan,1797778,863261,934517,452890,1120023,224865,1756317,941935,726989,6231,45645,246,35271,41461,1494849,302929,1170030,182248,361479,380028,246275,1660305,137473,71793,289765,1507696,1181465,418811,317146,445508,2010
27053,Hennepin County, Minnesota,1133365,556668,576697,257384,750489,125492,1094607,865162,130510,8456,70351,447,19681,38758,853448,279917,771490,59755,147266,220282,344187,985746,147619,59546,105678,1027421,779086,393274,242110,143702,2010
27123,Ramsey County, Minnesota,495884,240765,255119,116939,320026,58919,478235,356353,55686,2927,57761,247,5261,17649,385282,110602,327010,33738,79521,90136,123615,427613,68271,29469,57348,438430,334261,155636,108627,69998,2010
29095,Jackson County, Missouri,666964,322603,344361,163102,422781,81081,644089,444870,160057,2164,11138,1582,24278,22875,532144,134820,442594,57067,127684,137818,120025,628373,38591,15401,81266,585562,440712,221564,120329,98819,2010
29189,St. Louis County, Missouri,982030,465267,516763,231206,608980,141844,960365,693503,227557,2709,32549,65,3982,21665,807548,174482,668797,54776,154364,189998,269659,912452,69578,35174,109799,870882,639576,326794,182784,129998,2010
31055,Douglas County, Nebraska,505528,246936,258592,129966,323880,51682,488908,406001,55564,3714,11191,605,11833,16620,404665,100863,325174,31819,71139,102696,119520,461963,43565,17536,56790,448463,337188,180726,100906,55556,2010
32003,Clark County, Nevada,1932015,969989,962026,483476,1228829,219710,1853264,1314505,197635,9100,169870,14309,147845,78751,1596284,335731,1273223,203333,379237,412759,277894,1510435,421580,176586,191102,1733656,1285111,605852,342286,336973,2010
34003,Bergen County, New Jersey,896810,432102,464708,203142,560586,133082,879777,659028,48856,1925,130461,0,39507,17033,783606,113204,628350,51319,167092,129592,280347,638547,258263,146935,73534,823224,585572,312514,135609,137449,2010
34007,Camden County, New Jersey,505852,243248,262604,124072,319080,62700,489482,321014,94706,2228,25768,34,45732,16370,427801,78051,336355,42789,107413,88751,97402,453612,52240,27614,63001,442391,334240,161827,94023,78390,2010
34013,Essex County, New Jersey,761612,361164,400448,189544,485368,86700,722497,332893,306906,2659,35795,40,44204,39115,635098,126514,502955,82180,142395,113407,164973,570010,191602,87203,71947,689418,506050,244403,120921,140726,2010
34017,Hudson County, New Jersey,629505,310900,318605,129616,435242,64647,608524,322788,81838,1336,84530,0,118032,20981,503424,126081,438025,79956,116452,82789,158828,366249,263256,114492,57960,571466,451213,232106,99360,119747,2010
34023,Middlesex County, New Jersey,786181,384520,401661,182948,505820,97413,765303,502055,69887,1478,169926,173,21784,20878,684489,101692,536571,60705,143406,113612,218848,545868,240313,120069,63216,722870,527536,273375,129240,124921,2010
34029,Ocean County, New Jersey,570719,272147,298572,132698,318672,119349,559624,519867,15821,106,8832,321,14677,11095,484617,86102,396728,37484,154211,106570,98463,526277,44442,23967,74850,495003,333281,144692,110135,78454,2010
34031,Passaic County, New Jersey,493423,240537,252886,124072,311598,57753,483753,334027,59090,1385,26030,0,63221,9670,433078,60345,321486,54115,110615,69850,86906,351153,142270,62130,49066,444357,326211,157188,76086,92937,2010
34039,Union County, New Jersey,529835,256248,273587,129350,335240,65245,520303,315712,112020,549,23223,599,68200,9532,464912,64923,356095,56405,104710,81731,113249,366082,163753,76713,43778,486013,349804,181310,86688,81806,2010
35001,Bernalillo County, New Mexico,658847,322166,336681,156589,421755,80503,632590,466001,19075,29025,14869,57,103563,26257,529324,129523,434844,56629,100765,139921,137529,584937,73910,25491,73593,582984,438587,219385,113318,105884,2010
36005,Bronx County, New York,1351398,628207,723191,362091,851279,138028,1296258,305977,470872,7474,46821,190,464924,55140,1152611,198787,836642,253332,242182,197849,143279,880716,470682,204469,181196,1169304,895469,375215,200600,319654,2010
36029,Erie County, New York,892574,430795,461779,195675,560238,136661,872830,718530,114757,5638,21578,104,12223,19744,702065,190509,611781,60461,181123,184427,185770,833380,59194,33503,114910,777456,586031,270679,176758,138594,2010
36047,Kings County, New York,2484504,1170743,1313761,584523,1618390,281591,2435199,1118682,843525,11441,262268,1215,198068,49305,2043184,441320,1637767,351078,474723,340650,471316,1541710,942794,516128,226785,2255515,1687198,780033,365586,541579,2010
36055,Monroe County, New York,718286,345131,373155,165453,453232,99601,702941,551611,107292,2188,24124,124,17602,15345,573962,144324,485983,53628,118525,136973,176857,652959,65327,40514,84508,633565,474291,220026,140968,113297,2010
